评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:37:38 +0800 2022,这个没毛病。致谢！,74,6
Mon Jan 31 23:38:36 +0800 2022,这两年，最辛苦的就是医护工作者[爱你]谢谢他们！虎年大吉！,59,2
Mon Jan 31 23:39:24 +0800 2022,辛苦了！登上万家灯火团圆夜的春晚，他们值得！,31,0
Mon Jan 31 23:42:02 +0800 2022,致敬，白衣天使[虎爪比心][虎爪比心][虎爪比心],17,0
Mon Jan 31 23:46:00 +0800 2022,医护人员辛苦了 新的一年 希望你们能早日闲下来 [心],17,0
Mon Jan 31 23:38:34 +0800 2022,感谢白衣天使一直的保护[心],10,0
Mon Jan 31 23:36:20 +0800 2022,这个好看哭了[悲伤],9,2
Mon Jan 31 23:41:43 +0800 2022,平凡的世界里有一点光亮一点温暖 感谢有你  致敬医护人员👩‍⚕️👨‍⚕️,6,0
Mon Jan 31 23:38:14 +0800 2022,辛苦了,6,0
Mon Jan 31 23:47:46 +0800 2022,医护人员辛苦啦[心],4,0
Mon Jan 31 23:46:48 +0800 2022,他们藏起自己的难，自己的酸甜苦辣，藏在口罩里防护服里，保持战斗的姿态，为我们[作揖]致敬[心],5,0
Mon Jan 31 23:43:41 +0800 2022,致敬医护人员！,4,0
Mon Jan 31 23:40:32 +0800 2022,医护工作者辛苦啦[虎爪比心][虎爪比心],4,0
Mon Jan 31 23:42:17 +0800 2022,好看哭了，原来医务工作者是这样的[泪][泪][泪],2,1
Mon Jan 31 23:42:32 +0800 2022,感谢有你 致敬在一线默默奉献的医护人员👩‍⚕️👨‍⚕️,1,0
Mon Jan 31 23:38:36 +0800 2022,致敬[虎爪比心],2,0
Mon Jan 31 23:48:50 +0800 2022,致敬,1,0
Mon Jan 31 23:46:33 +0800 2022,致敬一线的医护工作者！希望大家新的一年都健康平安～[心][心],1,0
Mon Jan 31 23:39:31 +0800 2022,致敬,1,0
Mon Jan 31 23:48:50 +0800 2022,致谢！,1,0
Mon Jan 31 23:48:45 +0800 2022,致敬医护人员[心][心],1,0
Mon Jan 31 23:46:36 +0800 2022,谢谢！,1,0
Mon Jan 31 23:46:33 +0800 2022,致敬！医护人员真的辛苦了！总有人替我们负重前行。,2,0
Mon Jan 31 23:45:25 +0800 2022,致敬白衣天使,1,0
Mon Jan 31 23:45:13 +0800 2022,致敬医护人员,1,0
Mon Jan 31 23:44:39 +0800 2022,致敬白衣天使[心],1,0
Mon Jan 31 23:41:25 +0800 2022,辛苦了,1,0
Mon Jan 31 23:38:06 +0800 2022,致敬[心][心][心],2,0
Mon Jan 31 23:37:17 +0800 2022,新年快乐 我的愿望是所有人平平安安健健康康不要生病,3,0
