评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:45:35 +0800 2022,卢鑫太能唱了[允悲],14,1
Tue Feb 01 00:12:48 +0800 2022,(⊙o⊙)哇，是他俩呀，犹记得当年他俩夺冠的时候，不错不错，上春晚了[偷乐],5,0
Mon Jan 31 23:48:15 +0800 2022,他的动作比语言好笑，让我隐约想起了宋小宝[允悲][允悲][允悲],5,1
Mon Jan 31 23:45:30 +0800 2022,耶卢鑫玉浩[好喜欢],3,0
Tue Feb 01 00:18:05 +0800 2022,这个组合不错！特别是肢体语言很逗！,3,0
Mon Jan 31 23:49:03 +0800 2022,他俩超好玩,3,0
Tue Feb 01 00:03:24 +0800 2022,说的好，[鼓掌],1,0
Tue Feb 01 00:07:02 +0800 2022,大美秦腔,2,0
Mon Jan 31 23:55:04 +0800 2022,这个我比较喜欢[赞],2,0
Mon Jan 31 23:45:48 +0800 2022,新年快乐！,0,0
Tue Feb 01 00:17:58 +0800 2022,[心],0,0
Mon Jan 31 23:52:11 +0800 2022,发扬秦腔[心][心],1,0
