评论发表时间,评论内容,点赞数,回复数
Tue Feb 01 00:30:25 +0800 2022,辛苦李谷一老师了[跪了],959,19
Tue Feb 01 00:31:01 +0800 2022,把前面尬的小品都删了，让老师早点休息吧,819,26
Tue Feb 01 00:30:23 +0800 2022,终于等到，快熬不住了，好想一键快进，听完难忘今宵才是过完除夕,278,2
Tue Feb 01 00:37:32 +0800 2022,明年请把难忘今宵安排到第一个，让李老师早一点休息[微笑],172,0
Tue Feb 01 00:31:08 +0800 2022,李谷一老师[抱一抱]难忘今宵难忘今宵[抱一抱],122,0
Tue Feb 01 00:32:46 +0800 2022,春晚金曲，李谷一老师等累了,97,0
Tue Feb 01 00:30:53 +0800 2022,我跟我妈打赌今晚绝对有难忘今宵！果然我赢了！,71,4
Tue Feb 01 00:43:07 +0800 2022,李谷一，杨洪基老师辛苦了❤️前面看那些节目也是一种煎熬啊,45,0
Tue Feb 01 00:30:32 +0800 2022,最佳节目,44,0
Tue Feb 01 00:39:24 +0800 2022,可不可以把难忘今宵提前到晚会开场，这样大家可以选择后面看哪个,49,0
Tue Feb 01 00:31:56 +0800 2022,最爱的就是李谷一老师的《难忘今宵》辛苦了[虎爪比心],39,2
Tue Feb 01 00:30:52 +0800 2022,好怀念啊，我长大了,23,0
Tue Feb 01 00:31:08 +0800 2022,新年快乐[打call][打call]李谷一老师的难忘今宵必是压轴[偷笑][开学季],17,0
Tue Feb 01 00:31:08 +0800 2022,新年快乐！难忘今宵！希望2022疫情早点结束！,15,0
Tue Feb 01 00:31:32 +0800 2022,流水的春晚，铁打的李谷子老师，满满的回忆[心][心],14,1
Tue Feb 01 00:32:06 +0800 2022,李谷一老师每年都得熬夜[苦涩],13,1
Tue Feb 01 00:33:36 +0800 2022,以前不都到两三点的么[允悲],10,0
Tue Feb 01 00:46:36 +0800 2022,只此青绿，演员祝大家新年快乐[福气虎],5,2
Tue Feb 01 00:30:51 +0800 2022,经典本天成，百年永不衰！,8,0
Tue Feb 01 00:30:40 +0800 2022,李谷一老师的难忘今宵yyds,4,0
Tue Feb 01 00:31:17 +0800 2022,李谷一老师辛苦了[福气虎],4,0
Tue Feb 01 00:30:54 +0800 2022,我就是为了等她等到了现在。真的泪目了，感觉听一次少一次[泪]以后让爷爷奶奶早点出来好不好[泪]七十八岁了啊[泪],9,1
Tue Feb 01 00:31:20 +0800 2022,过年好！新年愿一切顺遂！[虎爪比心],3,0
Tue Feb 01 00:31:12 +0800 2022,每年春晚的期待,3,0
Tue Feb 01 00:30:55 +0800 2022,难忘今宵一出来，年就过完了[允悲],7,0
Tue Feb 01 00:30:11 +0800 2022,你好，你感兴趣的“难忘今宵”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #难忘今宵[超话]#,0,0
Tue Feb 01 00:31:22 +0800 2022,辛苦老师了,2,0
Tue Feb 01 00:46:39 +0800 2022,每年就为了李谷一老师的难忘今宵看的春晚[心],2,0
Tue Feb 01 00:37:00 +0800 2022,办的一年不如一年[doge],2,0
