评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:30:21 +0800 2022,新年快乐呀！任嘉伦太帅了！,0,2
Mon Jan 31 23:31:16 +0800 2022,任嘉伦唱的好惊艳啊[哆啦A梦吃惊]一开口绝了，帅哥好棒啊[awsl],0,2
Mon Jan 31 23:30:23 +0800 2022,看亿遍任嘉伦[抓狂][抓狂],0,0
Mon Jan 31 23:30:33 +0800 2022,任嘉伦好帅我爱你[泪][泪][泪],0,1
Mon Jan 31 23:30:54 +0800 2022,任嘉伦帅啊,0,1
Mon Jan 31 23:30:17 +0800 2022,嘉伦哥哥[虎爪比心][虎爪比心][虎爪比心],0,2
Mon Jan 31 23:30:22 +0800 2022,rap好好听哦 王源[苦涩][苦涩],0,14
Mon Jan 31 23:30:40 +0800 2022,王源好元气[赢牛奶],0,2
Mon Jan 31 23:30:24 +0800 2022,王源哥哥,0,1
Mon Jan 31 23:30:46 +0800 2022,任嘉伦@任嘉伦Allen 惊艳我[打call][打call][打call][悲伤][悲伤][悲伤]啊啊啊啊！！,0,0
Mon Jan 31 23:30:22 +0800 2022,王源好帅[awsl],845,1
Mon Jan 31 23:31:45 +0800 2022,任嘉伦唱的好好听[憧憬][憧憬],703,0
Mon Jan 31 23:30:39 +0800 2022,王源好有活力，好青春的一个节目！,784,1
Mon Jan 31 23:31:22 +0800 2022,[福气虎]和任嘉伦一起真爱舞动起来[虎爪比心],567,0
Mon Jan 31 23:30:45 +0800 2022,任嘉伦太帅啦[awsl],414,0
Mon Jan 31 23:30:20 +0800 2022,王源好棒[打call][打call][打call],457,1
Mon Jan 31 23:30:19 +0800 2022,宋茜好漂亮啊[好爱哦],326,1
Mon Jan 31 23:30:59 +0800 2022,宋茜好漂亮呢[暴发虎][许愿虎][许愿虎],268,0
Mon Jan 31 23:30:47 +0800 2022,宋茜唱得好听呀[许愿虎][许愿虎],263,1
Mon Jan 31 23:30:44 +0800 2022,我妈妈说王源好可爱[苦涩]太可爱了！,288,0
Mon Jan 31 23:30:36 +0800 2022,宋茜好美[开学季][福气虎],217,0
Mon Jan 31 23:30:46 +0800 2022,宋茜好好看呀[开学季],213,0
Mon Jan 31 23:31:00 +0800 2022,新年快乐！rap好听的王源！,246,1
Mon Jan 31 23:31:48 +0800 2022,任嘉伦帅炸了[虎爪比心][虎爪比心][虎爪比心],171,0
Mon Jan 31 23:31:09 +0800 2022,和宋茜一起㊗️大家新年快乐🐯虎年新春已来到，㊗️大家虎年吉祥，笑口常开！,153,1
Mon Jan 31 23:30:51 +0800 2022,🏮🄷🄰🄿🄿🅈 🄽🄴🅆 🅈🄴🄰🅁🏮又陪王源迎来新的一年啦～唱得超好,183,1
Mon Jan 31 23:31:08 +0800 2022,任嘉伦太帅了[心],143,1
Mon Jan 31 23:30:57 +0800 2022,王源 新年快乐[给你小心心],151,0
Mon Jan 31 23:32:41 +0800 2022,和宋茜一起祝大家虎虎生风,114,1
