评论发表时间,评论内容,点赞数,回复数
Tue Feb 01 00:10:47 +0800 2022,新年快乐[心][心][心],3,0
Tue Feb 01 00:17:04 +0800 2022,孙莎莎同学的老朋友来了,2,0
Tue Feb 01 00:48:20 +0800 2022,期待东奥,1,0
Tue Feb 01 00:11:45 +0800 2022,新年快乐呀 期待冬奥会,2,0
Tue Feb 01 00:11:44 +0800 2022,期待冬奥会开幕！！！,1,0
Tue Feb 01 00:11:44 +0800 2022,期待冬奥会[赢牛奶],1,0
Tue Feb 01 00:11:27 +0800 2022,相约冬奥[2022],1,0
Tue Feb 01 00:11:12 +0800 2022,新年快乐[心],1,0
Tue Feb 01 00:11:08 +0800 2022,巴赫主席欢迎来到中国China,2,0
Tue Feb 01 00:11:03 +0800 2022,新年快乐 期待冬奥![憧憬][憧憬][憧憬][憧憬][憧憬],1,0
Tue Feb 01 00:17:00 +0800 2022,你们有没有发现今年春晚没有分会场…,1,0
Tue Feb 01 00:11:22 +0800 2022,新年快乐！北京见[赞],1,0
Tue Feb 01 00:11:08 +0800 2022,新年快乐！新年快乐！[许愿虎][暴发虎][福气虎],1,0
Tue Feb 01 00:52:11 +0800 2022,加油,0,0
Tue Feb 01 00:50:30 +0800 2022,祝福冬奥,0,0
Tue Feb 01 00:42:14 +0800 2022,冬奥会[抓狂][心],0,0
Tue Feb 01 00:40:02 +0800 2022,这老外都给中国人拜年了，我们高兴死了，,0,0
Tue Feb 01 00:26:16 +0800 2022,新年快乐[打call][打call][打call],0,0
Tue Feb 01 00:25:21 +0800 2022,新年快乐[抱一抱] 期待冬奥会[打call][打call][打call],0,0
Tue Feb 01 00:22:48 +0800 2022,期待北京冬奥会[求关注],0,0
Tue Feb 01 00:18:39 +0800 2022,新年快乐🎉,0,0
Tue Feb 01 00:17:14 +0800 2022,一起向未来期待冬奥会[心][拳头],0,0
Tue Feb 01 00:16:40 +0800 2022,央妈新年快乐[赢牛奶][赢牛奶][赢牛奶],0,0
Tue Feb 01 00:13:11 +0800 2022,冬奥加油[虎爪比心][虎爪比心][虎爪比心],0,0
Tue Feb 01 00:12:38 +0800 2022,北京见,0,0
Tue Feb 01 00:12:37 +0800 2022,期待[心],0,0
Tue Feb 01 00:11:53 +0800 2022,新年快乐,0,0
Tue Feb 01 00:11:37 +0800 2022,[爱你],0,0
Tue Feb 01 00:11:24 +0800 2022,期待,0,0
