评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:25:33 +0800 2022,任嘉伦让我的DNA又动了,3670,0
Mon Jan 31 23:25:18 +0800 2022,任嘉伦也太帅了[色][单身狗],3450,8
Mon Jan 31 23:25:25 +0800 2022,任嘉伦[赢牛奶][赢牛奶],3508,44
Mon Jan 31 23:25:52 +0800 2022,满眼都是任嘉伦的腿[doge],3080,15
Mon Jan 31 23:26:02 +0800 2022,当嘉伦在春晚实现了他的唱跳梦[苦涩],2215,14
Mon Jan 31 23:25:35 +0800 2022,救命🆘 王源好可爱[苦涩],2386,135
Mon Jan 31 23:25:15 +0800 2022,王源很帅[开学季],1714,15
Mon Jan 31 23:25:30 +0800 2022,王源帅帅气气,1503,13
Mon Jan 31 23:25:29 +0800 2022,王源,1157,24
Mon Jan 31 23:25:49 +0800 2022,任嘉伦好帅[赢牛奶],990,0
Mon Jan 31 23:26:08 +0800 2022,新年快乐，任嘉伦rap圆满了,853,0
Mon Jan 31 23:25:32 +0800 2022,宋茜好棒,721,0
Mon Jan 31 23:25:18 +0800 2022,宋茜@宋茜,707,1
Mon Jan 31 23:25:34 +0800 2022,王源！,776,1
Mon Jan 31 23:25:43 +0800 2022,宋茜宋茜！,603,1
Mon Jan 31 23:25:42 +0800 2022,王源好棒,676,0
Mon Jan 31 23:26:51 +0800 2022,活力满满的任嘉伦，想跟着任嘉伦一起唱起来，跳起来[笑哈哈][笑哈哈][笑哈哈],531,0
Mon Jan 31 23:25:42 +0800 2022,宋茜好棒呀,499,0
Mon Jan 31 23:25:16 +0800 2022,王源[憧憬][憧憬][憧憬],560,0
Mon Jan 31 23:25:52 +0800 2022,宋茜[中国赞][中国赞],446,0
Mon Jan 31 23:26:32 +0800 2022,宋茜[心],383,0
Mon Jan 31 23:27:01 +0800 2022,宋茜漂亮的呀,358,0
Mon Jan 31 23:25:58 +0800 2022,任嘉伦[打call],344,0
Mon Jan 31 23:25:46 +0800 2022,宋茜真的太好看了,322,0
Mon Jan 31 23:25:43 +0800 2022,新年快乐，顺顺利利，舞台真好看，真喜欢[福气虎],281,0
Mon Jan 31 23:25:49 +0800 2022,宋茜好棒呀！,283,0
Mon Jan 31 23:26:25 +0800 2022,任嘉伦好帅呀[虎爪比心][虎爪比心],263,0
Mon Jan 31 23:25:48 +0800 2022,王源啊啊啊啊祝大家新年快乐[心],316,1
Mon Jan 31 23:26:41 +0800 2022,宋茜[打call]宋茜[打call]宋茜[打call],232,1
