评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:07:32 +0800 2022,感谢开心麻花,56,0
Mon Jan 31 23:08:07 +0800 2022,开心麻花的小品还是值得信赖的。,44,0
Mon Jan 31 23:09:29 +0800 2022,艾伦是大春本春[doge],27,0
Mon Jan 31 23:07:18 +0800 2022,沈腾春晚因你而精彩[good],26,0
Mon Jan 31 23:10:10 +0800 2022,哈哈哈哈哈哈我不信，腾哥是不是准备又把几年前的健身房照片发出来忽悠我们？[嘻嘻],14,0
Mon Jan 31 23:08:01 +0800 2022,注意身体～期待校草回归[doge],9,1
Mon Jan 31 23:09:54 +0800 2022,沈马yyds呜呜[虎爪比心],6,0
Mon Jan 31 23:10:30 +0800 2022,唯一让我笑的春晚小品 谢谢沈腾马丽 谢谢开心麻花 还得是您,9,0
Mon Jan 31 23:30:17 +0800 2022,期待明年腾哥的武术[允悲][允悲],4,0
Mon Jan 31 23:15:17 +0800 2022,感谢开心麻花 感谢沈腾马丽[开学季],2,0
Mon Jan 31 23:09:49 +0800 2022,雪菜血肠[doge]血债血偿[允悲]春晚有你们了不起[打call],5,0
Mon Jan 31 23:08:02 +0800 2022,还得是开心麻花,3,0
Mon Jan 31 23:13:03 +0800 2022,沈腾最对不起70后的一张脸,3,0
Mon Jan 31 23:14:30 +0800 2022,开心麻花[虎爪比心][虎爪比心],2,0
Mon Jan 31 23:12:11 +0800 2022,希望新年大家都健健康康平平安安的,1,0
Mon Jan 31 23:10:11 +0800 2022,开心麻花yyds,1,0
Mon Jan 31 23:08:40 +0800 2022,校草注意身体！,2,0
Mon Jan 31 23:07:29 +0800 2022,还得看沈腾马丽！,3,0
Mon Jan 31 23:44:25 +0800 2022,喜欢沈马组合！,2,0
Mon Jan 31 23:10:13 +0800 2022,我觉得这个小品不错啊[暴发虎][暴发虎],2,0
Mon Jan 31 23:17:55 +0800 2022,腾哥多注意身体啊！,1,0
Mon Jan 31 23:16:21 +0800 2022,能不能让腾哥叫着贾玲姐一起,1,3
Mon Jan 31 23:10:41 +0800 2022,年年给大家带了欢笑的你们[打call]身体健康[抱一抱]心想事成[福气虎],2,0
Mon Jan 31 23:09:15 +0800 2022,哈哈哈哈哈我想知道沈腾叔叔未来的健身歌单[doge],2,0
Tue Feb 01 00:43:24 +0800 2022,哈哈快传出去，沈腾明年春晚要演武术[笑cry],0,0
Tue Feb 01 00:27:43 +0800 2022,哈哈哈哈  腾哥要注意身体 好好休息[微笑趣泡][春游家族],0,0
Mon Jan 31 23:50:06 +0800 2022,#沈腾初一去健身# [悲伤]健康快乐平安就好@沈腾 ,0,0
Mon Jan 31 23:41:16 +0800 2022,谢谢开心麻花,0,0
Mon Jan 31 23:33:32 +0800 2022,转发微博,0,0
