评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 22:47:52 +0800 2022,真的是王亚平航天员的女儿啊啊啊![打call][打call][打call][打call],1889,14
Mon Jan 31 22:48:31 +0800 2022,真正的“上面有人”！[good][哈哈],1627,13
Mon Jan 31 22:49:19 +0800 2022,摘一个美丽的星星！☀️·　　　　🛸　　　 　🌏　°　　🌓　•　　.°•　　　🚀 ✯🇨🇳✯ 　　　★　*°　　　　🛰　°·　　 .　　　•　°★　• ▁▂▃▄▅▆▇▇▆▅▄▃▁▂▃.,449,0
Mon Jan 31 22:49:22 +0800 2022,说一句真心话，完全是真心实意的话，空间站和里面的三位太空人比春晚好看！,398,5
Mon Jan 31 22:48:09 +0800 2022,妈妈一定会的[赢牛奶],171,0
Mon Jan 31 22:49:35 +0800 2022,这个节目为啥不放在连线前,166,8
Mon Jan 31 22:48:19 +0800 2022,寓意很好，中国人才有的浪漫[春游家族],113,0
Mon Jan 31 22:49:01 +0800 2022,真的是王亚平女儿，就说这个小女孩好眼熟了[爱你][爱你],95,0
Mon Jan 31 22:50:02 +0800 2022,好浪漫，好有创意，破防了[泪]，中国航天，永不止步[赞],94,0
Mon Jan 31 22:50:46 +0800 2022,她说妈妈，她想要星星的时候，我就想到了[good][good][good][嘻嘻][嘻嘻][嘻嘻],59,0
Mon Jan 31 22:48:15 +0800 2022,摘星人[心],37,0
Mon Jan 31 22:55:36 +0800 2022,这是航天员王亚平的女儿，天宫授课的时候小女孩在北京主会场中国科技馆，全程看了妈妈王亚平授课了。,38,1
Mon Jan 31 22:47:56 +0800 2022,星辰大海[心][心],30,1
Mon Jan 31 22:48:42 +0800 2022,差点忘了咱们还有仨人在外出差没回来呢[允悲],29,0
Mon Jan 31 22:49:43 +0800 2022,星辰大海[贊啊]向所有航天工作者致敬！！！新年快乐🎆,17,1
Mon Jan 31 22:53:57 +0800 2022,[打call][打call][打call],4,0
Mon Jan 31 22:49:29 +0800 2022,麻麻一定会的，不愧是航天员的女儿[打call],12,0
Mon Jan 31 22:48:31 +0800 2022,向所有航天工作者致敬[虎爪比心]新年快乐,5,0
Mon Jan 31 22:54:28 +0800 2022,好浪漫啊[憧憬][憧憬][憧憬],3,0
Mon Jan 31 22:48:04 +0800 2022,中国航天，星辰大海，永不止步！,5,0
Mon Jan 31 22:48:17 +0800 2022,宝贝儿 等着妈妈给你摘星星回来[抱一抱][抱一抱][抱一抱],4,0
Mon Jan 31 23:54:12 +0800 2022,好有寓意的节目，祝祖国的航天事业越来越好！[心],2,0
Mon Jan 31 22:56:55 +0800 2022,感动[爱你]没有煽情，就是自然而然感动。这个节目也棒[许愿虎],10,0
Mon Jan 31 22:57:11 +0800 2022,最美航天员王亚平[心][心][心],3,0
Mon Jan 31 22:54:47 +0800 2022,中国人的浪漫🌌，祝大家新年快乐！🎉🎉,4,1
Mon Jan 31 23:24:56 +0800 2022,大家除夕快乐，中国式浪漫，中国加油加油！🌹[暴发虎],1,1
Mon Jan 31 22:50:23 +0800 2022,中国航天，星辰大海，永不止步！！,1,0
Mon Jan 31 22:48:52 +0800 2022,摘星人[泪][泪]破防了。期待凯旋归来！,2,0
Mon Jan 31 22:48:31 +0800 2022,好浪漫，好有创意,1,0
