评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 22:52:29 +0800 2022,撒老师比小品好笑,5328,38
Mon Jan 31 22:52:39 +0800 2022,笑死我了小撒，替小撒球球不要扣工资啊哈哈哈哈哈哈哈哈哈,4468,35
Mon Jan 31 22:52:37 +0800 2022,答应我，别扣他那200好嘛[悲伤],3138,41
Mon Jan 31 22:52:49 +0800 2022,《撒贝宁站在春晚舞台就是一部小品》,1462,1
Mon Jan 31 22:52:23 +0800 2022,《绝不嘴瓢》,873,0
Mon Jan 31 22:52:32 +0800 2022,撒老师就是我的快乐源泉，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,725,24
Mon Jan 31 22:54:01 +0800 2022,撒贝宁为春晚付出太多[哼]狠狠求一个撒贝宁直拍全程reaction！,733,18
Mon Jan 31 22:52:46 +0800 2022,后台是不是冲浪了[doge],407,2
Mon Jan 31 22:52:41 +0800 2022,紧急公关撒贝宁[舔屏][舔屏],400,1
Mon Jan 31 22:53:12 +0800 2022,小撒是不是在下面刷微博了 绝不嘴瓢[doge][doge],261,0
Mon Jan 31 22:52:56 +0800 2022,史上最快回应[doge],227,0
Mon Jan 31 22:53:09 +0800 2022,这现挂绝了，小撒就是今晚最可爱的小老虎。,213,1
Mon Jan 31 22:52:34 +0800 2022,喜欢这种现挂[doge][doge]老有参与感了,199,3
Mon Jan 31 22:52:36 +0800 2022,撒贝宁：没事 只要不扣钱啥都好说,173,0
Mon Jan 31 22:53:16 +0800 2022,语言类节目MVP：撒老师[赢牛奶],107,0
Mon Jan 31 22:52:33 +0800 2022,现改的词吧哈哈哈哈哈[doge],79,0
Mon Jan 31 22:53:34 +0800 2022,努力想给春晚增添笑料的撒撒 真的可爱的心酸[爱你],70,0
Mon Jan 31 22:54:48 +0800 2022,哈哈哈哈哈如果扣他钱我会伤心的，ok?,57,2
Mon Jan 31 22:53:07 +0800 2022,撒贝宁太可爱了！！！虎头虎脑不会嘴瓢！撒贝宁现挂能力好强[抓狂],61,0
Mon Jan 31 22:55:04 +0800 2022,明年春晚一定还要看到小撒啊[苦涩],40,0
Mon Jan 31 22:53:50 +0800 2022,寅虎变卯兔，兔子才瓢嘴。撒贝宁在为明年兔年做准备。。。。[二哈][笑cry],30,0
Mon Jan 31 22:57:17 +0800 2022,撒贝宁全场最佳,27,0
Mon Jan 31 22:53:24 +0800 2022,今晚唯一搞笑担当撒老师[二哈],24,0
Mon Jan 31 22:56:16 +0800 2022,看在他这么努力逗全国人民开心的份上别扣钱了吧,22,0
Mon Jan 31 22:53:09 +0800 2022,祝大家虎头虎脑！不会嘴瓢！[福气虎](单押,24,0
Mon Jan 31 22:54:46 +0800 2022,撒老师比小品有意思太可爱了,15,0
Mon Jan 31 22:53:17 +0800 2022,撒贝宁最长最佳 嘴嘌哈哈哈,9,0
Mon Jan 31 22:59:31 +0800 2022,跪求央视爸爸别扣小撒工资！！！！！,11,0
Mon Jan 31 22:52:47 +0800 2022,这算现场砸挂吗[二哈],8,0
