评论发表时间,评论内容,点赞数,回复数
Tue Feb 01 00:25:15 +0800 2022,这样的好节目应该放在零点前,2435,43
Tue Feb 01 00:25:39 +0800 2022,这么体现中国特色的节目为什么不排前面一点？[悲伤],1623,2
Tue Feb 01 00:25:48 +0800 2022,咱就是说，这种节目以后往前放……,1058,5
Tue Feb 01 00:25:14 +0800 2022,敲钟以后的节目为啥这么好看！！！,650,12
Tue Feb 01 00:26:37 +0800 2022,这是什么过山车式的节目审核标准[允悲],548,11
Tue Feb 01 00:25:19 +0800 2022,太美了！这样的节目应该多多上春晚,467,0
Tue Feb 01 00:25:25 +0800 2022,这么有韵味的节目，为什么放在这么晚？,258,0
Tue Feb 01 00:26:31 +0800 2022,为什么不把这个放到前面？？？！！！,237,0
Tue Feb 01 00:26:33 +0800 2022,这么体现中国特色的节目为什么不排前面一点？[悲伤],175,0
Tue Feb 01 00:30:39 +0800 2022,这个节目过于优秀了，是为了奖励坚持到零点后的人吗？,164,4
Tue Feb 01 00:25:28 +0800 2022,这个画风我是真的就爱了[打call][开学季][开学季],150,0
Tue Feb 01 00:25:24 +0800 2022,为什么不排在前面[开学季],100,0
Tue Feb 01 00:26:38 +0800 2022,鹊桥仙那个渔夫是谁，声音好绝好特别,83,13
Tue Feb 01 00:26:34 +0800 2022,如果开头结尾的舞蹈是汉服就完美了，那个舞蹈衣服太辣眼睛了,71,0
Tue Feb 01 00:25:13 +0800 2022,中国古典风,64,0
Tue Feb 01 00:26:36 +0800 2022,多一些这样文化类节目，少一些尴尬类节目！,63,0
Tue Feb 01 00:25:24 +0800 2022,这个真的好看，为啥不放在前面,60,0
Tue Feb 01 00:26:18 +0800 2022,好美啊！！！很《经典咏流传》[苦涩]造型最贴的竟然是郑棋元[开学季],56,0
Tue Feb 01 00:25:30 +0800 2022,很美啊！应该早点放的！,47,0
Tue Feb 01 00:27:06 +0800 2022,濮存昕老师念诗词绝了[可怜],48,1
Tue Feb 01 00:27:06 +0800 2022,好节目这啥放零点后？？,41,1
Tue Feb 01 00:27:49 +0800 2022,良莠不齐，所以春晚导演真的懂审美吗,27,0
Tue Feb 01 00:25:22 +0800 2022,这画风 真的很舒服[虎爪比心][虎爪比心],32,0
Tue Feb 01 00:25:40 +0800 2022,好看又好听！,32,2
Tue Feb 01 00:26:48 +0800 2022,最美中国风，文化自信玩明白了[许愿虎],24,0
Tue Feb 01 00:27:27 +0800 2022,这个总导演比较差，12点后节目一下子档次上来了,22,0
Tue Feb 01 00:26:38 +0800 2022,这么好的节目为什么不放在零点前？？？？？？？？[怒骂][怒骂][怒骂],18,0
Tue Feb 01 00:35:27 +0800 2022,太喜欢了。画中人，[羞嗒嗒][羞嗒嗒][羞嗒嗒][羞嗒嗒]创意这么好的节目放在零点后太可惜了，希望更多人看到！,18,1
Tue Feb 01 00:29:11 +0800 2022,你这不是能搞好吗？？？？？？？？？？？？[哆啦A梦害怕],21,1
