评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:03:55 +0800 2022,小撒小撒今晚很敬业，今天的新年愿望就是希望小撒不要被扣工资好吗,1078,23
Mon Jan 31 23:04:23 +0800 2022,撒，谢谢你，是你继沈腾贾玲让我第三声爆笑的人，感谢,356,1
Mon Jan 31 23:03:35 +0800 2022,我也想托撒贝宁[开学季][开学季],159,0
Mon Jan 31 23:04:29 +0800 2022,刘涛太可爱啦[开学季][开学季][开学季],134,0
Mon Jan 31 23:04:55 +0800 2022,哈哈哈哈哈美女刘涛好有梗啊[哆啦A梦花心],117,0
Mon Jan 31 23:05:27 +0800 2022,刘涛太漂亮啦！[打call],96,2
Mon Jan 31 23:05:14 +0800 2022,哈哈哈哈。刘涛好可爱[允悲][允悲],77,0
Mon Jan 31 23:06:00 +0800 2022,刘涛托起了托[喵喵],69,0
Mon Jan 31 23:05:31 +0800 2022,哈哈哈哈哈哈涛姐太可爱了,58,0
Mon Jan 31 23:06:54 +0800 2022,刘涛好有梗啊哈哈哈哈哈哈哈哈哈虎头虎脑 新年祝大家都虎虎生威,50,0
Mon Jan 31 23:06:10 +0800 2022,太可爱了刘涛！！！,40,0
Mon Jan 31 23:04:19 +0800 2022,刘涛果然是托儿[doge][doge][doge],42,0
Mon Jan 31 23:07:14 +0800 2022,刘涛好可爱啊，撒老师也好搞笑[允悲],32,0
Mon Jan 31 23:06:21 +0800 2022,哈哈哈哈哈哈哈哈，刘涛这个托还真能托[doge],24,0
Mon Jan 31 23:06:16 +0800 2022,傻乎乎的刘涛好可爱[福气虎],23,0
Mon Jan 31 23:06:52 +0800 2022,刘涛好漂亮！,18,0
Mon Jan 31 23:05:19 +0800 2022,撒贝宁太可爱了 虎头虎脑[赢牛奶],12,0
Mon Jan 31 23:06:46 +0800 2022,哈哈哈哈哈哈哈哈srds刘涛真的好漂亮[许愿虎],13,0
Mon Jan 31 23:03:55 +0800 2022,刘涛太可爱啦！[开学季],9,0
Mon Jan 31 23:06:43 +0800 2022,传下去刘涛是托儿[喵喵][喵喵][喵喵],11,0
Mon Jan 31 23:05:32 +0800 2022,哈哈哈哈哈哈央视霸霸你不正经,7,0
Mon Jan 31 23:03:36 +0800 2022,好强行的借位[doge],10,0
Mon Jan 31 23:03:40 +0800 2022,哈哈哈哈哈哈[doge]央妈也来了[doge],9,0
Mon Jan 31 23:06:20 +0800 2022,笨蛋刘涛是托是今年春晚最搞笑的了，没有之一[拳头],9,0
Mon Jan 31 23:05:46 +0800 2022,哈哈哈哈哈刘涛看起来憨憨的！果然美女都是憨憨的[doge],8,0
Mon Jan 31 23:06:45 +0800 2022,看小撒那么可爱的份儿上，能不能不要扣小撒的工资[开学季][开学季][开学季]，明年春晚还想看到小撒[怒骂][怒骂][怒骂],5,0
Mon Jan 31 23:05:12 +0800 2022,潜台词：刘涛是托儿[春游家族][春游家族][春游家族],7,0
Mon Jan 31 23:09:09 +0800 2022,刘涛好会啊哈哈哈哈哈可爱大姐姐！,5,0
Mon Jan 31 23:05:22 +0800 2022,撒贝宁对不起 你真的好好笑哈哈哈,4,0
