评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:16:19 +0800 2022,@郑云龙DL 嗨~龙哥,627,58
Mon Jan 31 23:15:56 +0800 2022,[doge]欢迎来四川了解三星堆,486,26
Mon Jan 31 23:15:32 +0800 2022,好大啊[哆啦A梦害怕][憧憬],298,6
Mon Jan 31 23:16:07 +0800 2022,相信三星堆是外星人遗址。。。。[笑cry],200,19
Mon Jan 31 23:15:53 +0800 2022,小故事还挺虐……[苦涩],182,10
Mon Jan 31 23:15:59 +0800 2022,好喜欢这个，全场最佳,135,2
Mon Jan 31 23:16:48 +0800 2022,这个节目特别棒！[good][good][good][打call][打call][打call],100,3
Mon Jan 31 23:16:50 +0800 2022,古蜀国传说的王蚕丛鱼凫的形象，和三星堆的面具好像挺相似的，不知道有没有关系,68,4
Mon Jan 31 23:18:04 +0800 2022,沉睡数千年，一醒惊天下，三千二百年，广汉三星堆。,74,3
Tue Feb 01 00:00:46 +0800 2022,前排竟然是乐乐@乐山消防 ～[doge] 捞我看大面具～[doge],68,10
Mon Jan 31 23:28:50 +0800 2022,哟，大龙@郑云龙DL 来啦[打call],37,0
Mon Jan 31 23:17:22 +0800 2022,最好看最震撼人心的一个节目了,23,0
Mon Jan 31 23:17:50 +0800 2022,[黑线]好好的历史文物为什么做成偶像剧的感觉？,44,9
Mon Jan 31 23:33:47 +0800 2022,三星堆真的好牛，可惜春晚硬是给编成了脑残爱情故事,41,5
Mon Jan 31 23:16:57 +0800 2022,神秘三星堆，有太多疑问等待探索。。。。,19,0
Mon Jan 31 23:15:21 +0800 2022,今晚最佳[好喜欢][好喜欢],8,0
Mon Jan 31 23:16:28 +0800 2022,好美！穿越3000年的爱！,5,0
Mon Jan 31 23:34:48 +0800 2022,恭喜郑云龙[good],9,0
Mon Jan 31 23:17:29 +0800 2022,好棒，张国立老师声音一出来我鸡皮疙瘩起来了,5,0
Mon Jan 31 23:17:58 +0800 2022,你看 它对我笑呀[赢牛奶],5,0
Mon Jan 31 23:16:10 +0800 2022,hi郑云龙,10,0
Mon Jan 31 23:27:18 +0800 2022,好喜欢这个，全场最佳,3,0
Mon Jan 31 23:16:56 +0800 2022,哇[赞],2,0
Mon Jan 31 23:16:54 +0800 2022,惊艳,2,0
Mon Jan 31 23:16:27 +0800 2022,把舞蹈也发出来咯,2,0
Mon Jan 31 23:16:02 +0800 2022,好绝啊，古代人的智慧[虎爪比心][虎爪比心],2,0
Mon Jan 31 23:22:58 +0800 2022,[傻眼]我以为好几件呢，结果就一件……这么巨大的一件,2,0
Mon Jan 31 23:16:12 +0800 2022,观看效果绝佳！！！,2,0
Mon Jan 31 23:39:07 +0800 2022,这位是春晚最重量级演员，谁支持谁反对[喵喵],4,0
