评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 23:38:16 +0800 2022,出来我就指着刘欢：“欢欢！”然后突然发现：“妈你看！他帽子真是欢欢！”,2804,22
Mon Jan 31 23:38:06 +0800 2022,刘欢戴欢欢[doge],2465,16
Mon Jan 31 23:38:16 +0800 2022,贝贝 晶晶 欢欢 迎迎 妮妮[赢牛奶],946,11
Mon Jan 31 23:38:00 +0800 2022,还得是艺术家[抱一抱][抱一抱],671,5
Mon Jan 31 23:38:03 +0800 2022,看到了！！！！！奥运和冬奥的梦幻联动[虎爪比心],452,1
Mon Jan 31 23:38:52 +0800 2022,还是老艺术家唱歌稳[good][good][good][good],301,10
Mon Jan 31 23:38:51 +0800 2022,想听《凤凰于飞》[允悲]有没有甄学姐妹集合[doge],276,27
Mon Jan 31 23:38:24 +0800 2022,欢上加欢,93,2
Mon Jan 31 23:38:18 +0800 2022,今年的小品很无语[微笑],526,44
Mon Jan 31 23:39:38 +0800 2022,谁有赵本山电话 我看不下去了🙉,231,9
Mon Jan 31 23:37:46 +0800 2022,没在看了，太无聊,180,1
Mon Jan 31 23:38:51 +0800 2022,刚才的相声里面那句：“雅典娜那个小娘们”这句台词是认真的吗？请问,74,17
Mon Jan 31 23:42:36 +0800 2022,我不理解，小娘们为什么会出现在春晚里，对女性护士的性别歧视到底想干嘛？疫情这些年是看不到她们的贡献吗？,89,2
Mon Jan 31 23:41:35 +0800 2022,欢欢戴着欢欢 姐姐追着姐姐 皇后杀了皇后[开学季],57,9
Mon Jan 31 23:38:57 +0800 2022,08年奥运开幕式唱我和你时，欢欢也别了欢欢,44,1
Mon Jan 31 23:44:03 +0800 2022,刘老师这打扮就像是买菜回家顺道唱了个歌（bushi）[喵喵][喵喵][喵喵],38,0
Mon Jan 31 23:38:42 +0800 2022,真有心，为双奥之城助力[打call],11,1
Mon Jan 31 23:38:02 +0800 2022,好细节[开学季],11,0
Mon Jan 31 23:39:49 +0800 2022,还得是刘欢 全场最佳,14,0
Mon Jan 31 23:42:36 +0800 2022,刘欢：谁还不是欢欢了[哼],8,1
Mon Jan 31 23:40:07 +0800 2022,给刘欢钢琴伴奏那个小姐姐看侧脸我还以为是杨蓉。,9,0
Mon Jan 31 23:39:04 +0800 2022,今晚歌曲节目最佳,8,0
Mon Jan 31 23:38:35 +0800 2022,哈哈哈,3,1
Mon Jan 31 23:37:49 +0800 2022,[打call],3,0
Mon Jan 31 23:39:55 +0800 2022,欢欢顶着欢欢[doge],3,0
Mon Jan 31 23:38:23 +0800 2022,@喵喵之霸,3,0
Mon Jan 31 23:38:14 +0800 2022,哈哈哈哈哈哈,3,0
Tue Feb 01 00:10:24 +0800 2022,真的发现了哈哈哈哈哈哈哈,2,0
Mon Jan 31 23:47:09 +0800 2022,时代的眼泪🥲,2,0
Tue Feb 01 00:50:42 +0800 2022,真有心,1,0
Tue Feb 01 00:47:31 +0800 2022,欢欢红红火火的超好看！好可爱[憧憬],1,0
Tue Feb 01 00:38:51 +0800 2022,我还说他戴个帽子干嘛[doge],1,0
Tue Feb 01 00:08:20 +0800 2022,大神刘老师,1,0
