评论发表时间,评论内容,点赞数,回复数
Mon Jan 31 22:56:20 +0800 2022,撒贝宁：《四百块钱没了》《贷款主持》,2344,24
Mon Jan 31 22:56:31 +0800 2022,全场MVP！[心],876,0
Mon Jan 31 22:56:30 +0800 2022,撒贝宁:一个人就是一个语言类节目🙉,904,0
Mon Jan 31 22:56:37 +0800 2022,撒贝宁现挂yyds！！！谁不爱可可爱爱的小撒！！！,547,0
Mon Jan 31 22:56:33 +0800 2022,撒贝宁笑死我了哈哈哈,314,0
Mon Jan 31 22:56:39 +0800 2022,尼撒的魔术今晚最佳节目[doge][doge][doge],305,0
Mon Jan 31 22:56:53 +0800 2022,希望以后每年春晚都有撒贝宁[doge],234,0
Mon Jan 31 22:59:02 +0800 2022,撒贝宁不比语言类节目好笑吗[doge],175,0
Mon Jan 31 22:56:19 +0800 2022,虎窜虎窜的,146,0
Mon Jan 31 22:56:48 +0800 2022,虎头撒太虎了哈哈哈哈哈怎么这么可爱，三岁都说多了,121,0
Mon Jan 31 22:58:07 +0800 2022,撒贝宁春晚全场最佳[开学季],98,0
Mon Jan 31 22:58:43 +0800 2022,别扣钱，他是今晚最佳[笑cry][笑cry][笑cry][笑cry],112,2
Mon Jan 31 22:56:54 +0800 2022,哈哈哈哈哈哈哈他好努力 [doge]比小品都有意思,75,0
Mon Jan 31 22:56:20 +0800 2022,小撒就是我的快乐源泉，谁懂[doge],72,0
Mon Jan 31 22:57:35 +0800 2022,撒老师绝对春晚全场最佳！！全靠撒老师了真的是！[允悲][允悲][允悲],62,0
Mon Jan 31 22:56:24 +0800 2022,撒老师太搞笑了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,49,1
Mon Jan 31 22:58:44 +0800 2022,明年我还要看他,44,0
Mon Jan 31 22:59:40 +0800 2022,承包了春晚一半有趣的男人[开学季][开学季][开学季],38,2
Mon Jan 31 22:58:00 +0800 2022,《关于芳心纵火犯一夜被罚四百这件事》,37,0
Mon Jan 31 22:59:41 +0800 2022,撒贝宁换魔方----虎虎祟祟,27,0
Mon Jan 31 23:21:11 +0800 2022,我不管，我们小撒最可爱，不能扣工资[许愿虎],20,2
Mon Jan 31 23:04:54 +0800 2022,他比所有节目都搞笑，他是支撑我看到现在的动力[doge],18,0
Mon Jan 31 22:58:15 +0800 2022,小撒确实紧张了……能感受到……[doge],14,0
Mon Jan 31 23:00:02 +0800 2022,小撒永远都不会让人失望的[笑cry][笑cry][笑cry][笑cry],16,0
Mon Jan 31 22:56:36 +0800 2022,春晚扛把子[doge],19,0
Mon Jan 31 22:56:19 +0800 2022,哈哈哈哈哈哈哈哈哈太可爱了[太开心],10,0
Mon Jan 31 23:05:44 +0800 2022,咋就是说，能不能给撒微笑安排一个小品[doge],9,1
Mon Jan 31 23:03:17 +0800 2022,《论嘴瓢后的疯狂找补》[doge],11,0
Mon Jan 31 22:58:06 +0800 2022,笑死，全场最佳节目[doge],11,0
